Pest	Species	Lifestage	SLS	Assessed	Temperature	Efnom	Efpc	EF_CT	CO2	Duration	Rep	Unhatched	Live_Hatched	Dead	Moribund	Total	
WFT	Western flower thrips	Larva	WFT Larv	1	5	Control	0	0	0	2	0		61	11	0	72	
WFT	Western flower thrips	Larva	WFT Larv	1	5	0	0	0	16.62	2	0		43	25	0	68	
WFT	Western flower thrips	Larva	WFT Larv	1	5	0.05	0.05	0.1	1.72	2	0		5	72	0	77	
WFT	Western flower thrips	Larva	WFT Larv	1	5	0.1	0.07	0.14	1.03	2	0		8	95	0	103	
WFT	Western flower thrips	Larva	WFT Larv	1	5	0.2	0.16	0.32	1.96	2	0		0	141	0	141	
WFT	Western flower thrips	Larva	WFT Larv	1	5	0.3	0.25	0.5	2.74	2	0		1	101	0	102	
WFT	Western flower thrips	Larva	WFT Larv	1	5	0.5	0.42	0.84	4.64	2	0		1	143	0	144	
WFT	Western flower thrips	Larva	WFT Larv	1	5	1	0.84	1.68	8.66	2	0		2	65	0	67	
WFT	Western flower thrips	Adult	WFT Ad	1	5	Control	0	0	0	2	0		33	55	0	88	
WFT	Western flower thrips	Adult	WFT Ad	1	5	0	0	0	16.62	2	0		36	53	0	89	
WFT	Western flower thrips	Adult	WFT Ad	1	5	0.05	0.05	0.1	1.72	2	0		0	36	0	36	
WFT	Western flower thrips	Adult	WFT Ad	1	5	0.1	0.07	0.14	1.03	2	0		0	90	0	90	
WFT	Western flower thrips	Adult	WFT Ad	1	5	0.2	0.16	0.32	1.96	2	0		0	102	0	102	
WFT	Western flower thrips	Adult	WFT Ad	1	5	0.3	0.25	0.5	2.74	2	0		0	81	0	81	
WFT	Western flower thrips	Adult	WFT Ad	1	5	0.5	0.42	0.84	4.64	2	0		0	102	0	102	
WFT	Western flower thrips	Adult	WFT Ad	1	5	1	0.84	1.68	8.66	2	0		0	79	0	79	
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	5	Control	0	0	0	2	0		63	0	0	63	
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	5	0	0	0	16.62	2	0		67	0	0	67	
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	5	0.2	0.16	0.32	1.96	2	0		62	0	0	62	
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	5	0.3	0.25	0.5	2.74	2	0		55	1	0	56	
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	5	0.5	0.42	0.84	4.64	2	0		45	15	2	62	
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	5	1	0.84	1.68	8.66	2	0		20	28	12	60	
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	5	1.5	1.25	2.5	12.29	2	0		18	53	0	71	
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	5	2	1.67	3.34	16.86	2	0		15	81	6	102	
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	5	Control	0	0	0	2	0	15	160			175	
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	5	0	0	0	16.62	2	0	9	291			300	
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	5	0.2	0.16	0.32	1.96	2	0	2	301			303	
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	5	0.3	0.25	0.5	2.74	2	0	10	117			127	
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	5	0.5	0.42	0.84	4.64	2	0	15	301			316	
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	5	1	0.84	1.68	8.66	2	0	18	258			276	
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	5	1.5	1.25	2.5	12.29	2	0	64	170			234	
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	5	2	1.67	3.34	16.86	2	0	148	97			245	
WFT	Western flower thrips	Larva	WFT Larv	1	10	Control	0	0	0	2	0		78	33	0	111	
WFT	Western flower thrips	Larva	WFT Larv	1	10	0	0	0		2	0		43	77	0	120	
WFT	Western flower thrips	Larva	WFT Larv	1	10	0.05	0.02	0.04	0.765	2	0		31	89	0	120	
WFT	Western flower thrips	Larva	WFT Larv	1	10	0.1	0.06	0.12	0.77	2	0		36	59	0	95	
WFT	Western flower thrips	Larva	WFT Larv	1	10	0.2	0.24	0.48	1.28	2	0		4	104	0	108	
WFT	Western flower thrips	Larva	WFT Larv	1	10	0.3	0.25	0.5	1.66	2	0		5	95	0	100	
WFT	Western flower thrips	Larva	WFT Larv	1	10	0.5	0.3	0.6	2.14	2	0		1	183	0	184	
WFT	Western flower thrips	Larva	WFT Larv	1	10	1	0.58	1.16	4.65	2	0		5	107	0	112	
WFT	Western flower thrips	Adult	WFT Ad	1	10	Control	0	0	0	2	0		48	57	0	105	
WFT	Western flower thrips	Adult	WFT Ad	1	10	0	0	0		2	0		14	94	0	108	
WFT	Western flower thrips	Adult	WFT Ad	1	10	0.05	0.02	0.04	0.765	2	0		7	72	0	79	
WFT	Western flower thrips	Adult	WFT Ad	1	10	0.1	0.06	0.12	0.77	2	0		0	69	0	69	
WFT	Western flower thrips	Adult	WFT Ad	1	10	0.2	0.24	0.48	1.28	2	0		0	74	0	74	
WFT	Western flower thrips	Adult	WFT Ad	1	10	0.3	0.25	0.5	1.66	2	0		0	60	0	60	
WFT	Western flower thrips	Adult	WFT Ad	1	10	0.5	0.3	0.6	2.14	2	0		0	64	0	64	
WFT	Western flower thrips	Adult	WFT Ad	1	10	1	0.58	1.16	4.65	2	0		0	59	0	59	
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	10	Control	0	0	0	2	0		100	0	0	100	
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	10	0	0	0		2	0		99	0	0	99	
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	10	0.2	0.24	0.48	1.28	2	0		100	0	0	100	
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	10	0.3	0.25	0.5	1.66	2	0		106	0	0	106	
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	10	0.5	0.3	0.6	2.14	2	0		105	4	0	109	
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	10	1	0.58	1.16	4.65	2	0		51	32	12	95	
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	10	1.5	1.18	2.36	9.9	2	0		5	90	4	99	
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	10	2	1.8	3.6	16	2	0		10	90	6	106	
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	10	Control	0	0	0	2	0	11	176			187	
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	10	0	0	0		2	0	17	188			205	
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	10	0.2	0.24	0.48	1.28	2	0	26	189			215	
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	10	0.3	0.25	0.5	1.66	2	0	25	152			177	
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	10	0.5	0.3	0.6	2.14	2	0	34	170			204	
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	10	1	0.58	1.16	4.65	2	0	10	227			237	
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	10	1.5	1.18	2.36	9.9	2	0	104	67			171	
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	10	2	1.8	3.6	16	2	0	143	21			164	
WFT	Western flower thrips	Larva	WFT Larv	1	15	Control	0	0	0	2	0		51	39	0	90	
WFT	Western flower thrips	Larva	WFT Larv	1	15	0	0	0	9.22	2	0		97	11	0	108	
