Pest	Species	Lifestage	SLS	LS Assessed	Assessed	Temperature	Efnom	Efpc	CO2	Duration	Rep	Unhatched	Live_Hatched	Dead	Moribund	Total
WFT	Western flower thrips	Larvae	WFT		1	5	Control	0	0	2	0		61	11	0	72
WFT	Western flower thrips	Larvae	WFT		1	5	0	0	16.62	2	0		43	25	0	68
WFT	Western flower thrips	Larvae	WFT		1	5	0.05	0.05	1.72	2	0		5	72	0	77
WFT	Western flower thrips	Larvae	WFT		1	5	0.1	0.07	1.03	2	0		8	95	0	103
WFT	Western flower thrips	Larvae	WFT		1	5	0.2	0.16	1.96	2	0		0	141	0	141
WFT	Western flower thrips	Larvae	WFT		1	5	0.3	0.25	2.74	2	0		1	101	0	102
WFT	Western flower thrips	Larvae	WFT		1	5	0.5	0.42	4.64	2	0		1	143	0	144
WFT	Western flower thrips	Larvae	WFT		1	5	1	0.84	8.66	2	0		2	65	0	67
WFT	Western flower thrips	Adult	WFT		1	5	Control	0	0	2	0		33	55	0	88
WFT	Western flower thrips	Adult	WFT		1	5	0	0	16.62	2	0		36	53	0	89
WFT	Western flower thrips	Adult	WFT		1	5	0.05	0.05	1.72	2	0		0	36	0	36
WFT	Western flower thrips	Adult	WFT		1	5	0.1	0.07	1.03	2	0		0	90	0	90
WFT	Western flower thrips	Adult	WFT		1	5	0.2	0.16	1.96	2	0		0	102	0	102
WFT	Western flower thrips	Adult	WFT		1	5	0.3	0.25	2.74	2	0		0	81	0	81
WFT	Western flower thrips	Adult	WFT		1	5	0.5	0.42	4.64	2	0		0	102	0	102
WFT	Western flower thrips	Adult	WFT		1	5	1	0.84	8.66	2	0		0	79	0	79
WFT	Western flower thrips	Larvae	WFT		1	10	Control	0	0	2	0		78	33	0	111
WFT	Western flower thrips	Larvae	WFT		1	10	0	0		2	0		43	77	0	120
WFT	Western flower thrips	Larvae	WFT		1	10	0.05	0.02	0.765	2	0		31	89	0	120
WFT	Western flower thrips	Larvae	WFT		1	10	0.1	0.06	0.77	2	0		36	59	0	95
WFT	Western flower thrips	Larvae	WFT		1	10	0.2	0.24	1.28	2	0		4	104	0	108
WFT	Western flower thrips	Larvae	WFT		1	10	0.3	0.25	1.66	2	0		5	95	0	100
WFT	Western flower thrips	Larvae	WFT		1	10	0.5	0.3	2.14	2	0		1	183	0	184
WFT	Western flower thrips	Larvae	WFT		1	10	1	0.58	4.65	2	0		5	107	0	112
WFT	Western flower thrips	Adult	WFT		1	10	Control	0	0	2	0		48	57	0	105
WFT	Western flower thrips	Adult	WFT		1	10	0	0		2	0		14	94	0	108
WFT	Western flower thrips	Adult	WFT		1	10	0.05	0.02	0.765	2	0		7	72	0	79
WFT	Western flower thrips	Adult	WFT		1	10	0.1	0.06	0.77	2	0		0	69	0	69
WFT	Western flower thrips	Adult	WFT		1	10	0.2	0.24	1.28	2	0		0	74	0	74
WFT	Western flower thrips	Adult	WFT		1	10	0.3	0.25	1.66	2	0		0	60	0	60
WFT	Western flower thrips	Adult	WFT		1	10	0.5	0.3	2.14	2	0		0	64	0	64
WFT	Western flower thrips	Adult	WFT		1	10	1	0.58	4.65	2	0		0	59	0	59
WFT	Western flower thrips	Larvae	WFT		1	15	Control	0	0	2	1		51	39	0	90
WFT	Western flower thrips	Larvae	WFT		1	15	0	0	9.22	2	1		97	11	0	108
WFT	Western flower thrips	Larvae	WFT		1	15	0.05	0.03	0.34	2	1		52	38	0	90
WFT	Western flower thrips	Larvae	WFT		1	15	0.1	0.09	0.655	2	1		65	39	0	104
WFT	Western flower thrips	Larvae	WFT		1	15	0.2	0.15	1.165	2	1		11	88	0	99
WFT	Western flower thrips	Larvae	WFT		1	15	0.3	0.25	1.34	2	1		4	52	0	56
WFT	Western flower thrips	Larvae	WFT		1	15	0.5	0.49	2.685	2	1		0	130	0	130
WFT	Western flower thrips	Larvae	WFT		1	15	1	0.32	5.06	2	1		9	86	0	95
WFT	Western flower thrips	Adult	WFT		1	15	Control	0	0	2	1		12	22	0	34
WFT	Western flower thrips	Adult	WFT		1	15	0	0	9.22	2	1		9	39	0	48
WFT	Western flower thrips	Adult	WFT		1	15	0.05	0.03	0.34	2	1		15	49	0	64
WFT	Western flower thrips	Adult	WFT		1	15	0.1	0.09	0.655	2	1		17	18	0	35
WFT	Western flower thrips	Adult	WFT		1	15	0.2	0.15	1.165	2	1		0	69	0	69
WFT	Western flower thrips	Adult	WFT		1	15	0.3	0.25	1.34	2	1		0	79	0	79
WFT	Western flower thrips	Adult	WFT		1	15	0.5	0.49	2.685	2	1		2	73	0	75
WFT	Western flower thrips	Adult	WFT		1	15	1	0.32	5.06	2	1		0	46	0	46
WFT	Western Flower thrip	Larvae	WFT		1	5	control	0	0	2	1		74	23	0	97
WFT	Western Flower thrip	Adult	WFT		1	5	control	0	0	2	1		5	0	0	5
WFT	Western Flower thrip	Larvae	WFT		1	5	control	0	0	2	2		59	16	0	75
WFT	Western Flower thrip	Adult	WFT		1	5	control	0	0	2	2		12	9	0	21
