Pest	Species	Lifestage	SLS	LS Assessed	Assessed	Temperature	Efnom	Efpc	CO2	Duration	Rep	Unhatched	Live_Hatched	Dead	Moribund	Total
dTSM	diapausing two spotted mite	Adult	dTSM	dTSM	2	5	Control	0	0	4	1	0	411	85	0	496
dTSM	diapausing two spotted mite	Adult	dTSM	dTSM	2	5	Control	0	0	4	2	0	78	8	0	86
dTSM	diapausing two spotted mite	Adult	dTSM	dTSM	2	5	Control	0	0	4	3	0	105	12	0	117
dTSM	diapausing two spotted mite	Adult	dTSM	dTSM	2	5	0	0	13	4	1	0	302	109	0	411
dTSM	diapausing two spotted mite	Adult	dTSM	dTSM	2	5	0.25	0.16	2.8	4	1	0	78	17	0	95
dTSM	diapausing two spotted mite	Adult	dTSM	dTSM	2	5	0.5	0.43	4.9	4	1	0	140	3	0	143
dTSM	diapausing two spotted mite	Adult	dTSM	dTSM	2	5	0.75	0.64	6.7	4	1	0	108	23	0	131
dTSM	diapausing two spotted mite	Adult	dTSM	dTSM	2	5	1	0.92	8.9	4	1	0	39	20	0	59
dTSM	diapausing two spotted mite	Adult	dTSM	dTSM	2	5	1.25	1.18	11.2	4	1	0	91	11	0	102
dTSM	diapausing two spotted mite	Adult	dTSM	dTSM	2	5	1.5	1.46	13.6	4	1	0	15	44	0	59
dTSM	diapausing two spotted mite	Adult	dTSM	dTSM	2	5	0	0	8	4	2	0	101	11	0	112
dTSM	diapausing two spotted mite	Adult	dTSM	dTSM	2	5	0.25	0.21	2.85	4	2	0	99	11	0	110
dTSM	diapausing two spotted mite	Adult	dTSM	dTSM	2	5	0.5	0.36	4.4	4	2	0	73	6	0	79
dTSM	diapausing two spotted mite	Adult	dTSM	dTSM	2	5	0.75	0.59	6.5	4	2	0	89	14	0	103
dTSM	diapausing two spotted mite	Adult	dTSM	dTSM	2	5	1	0.8	8.3	4	2	0	57	15	0	72
dTSM	diapausing two spotted mite	Adult	dTSM	dTSM	2	5	1.25	1.06	10.2	4	2	0	112	13	0	125
dTSM	diapausing two spotted mite	Adult	dTSM	dTSM	2	5	1.5	1.18	11.4	4	2	0	42	34	0	76
dTSM	diapausing two spotted mite	Adult	dTSM	dTSM	2	5	0	0	13.4	4	3	0	106	13	0	119
dTSM	diapausing two spotted mite	Adult	dTSM	dTSM	2	5	0.25	0.192	2.2	4	3	0	138	21	0	159
dTSM	diapausing two spotted mite	Adult	dTSM	dTSM	2	5	0.5	0.43	4.7	4	3	0	102	16	0	118
dTSM	diapausing two spotted mite	Adult	dTSM	dTSM	2	5	0.75	0.65	6.8	4	3	0	180	74	0	254
