
Species	Lifestage	Efg	Efppm	CO2	Fruit	Rep	Duration	Live	Dead	Moribund	Total
Longtailed Mealybug	1*	Control	0	0	Y	1	1	101	0	0	101
Longtailed Mealybug	2*	Control	0	0	Y	1	1	108	0	0	108
Longtailed Mealybug	3*	Control	0	0	Y	1	1	67	0	0	67
Longtailed Mealybug	Female adult	Control	0	0	Y	1	1	98	4	0	102
Longtailed Mealybug	Male 3/4*	Control	0	0	Y	1	1	9	0	0	9
Longtailed Mealybug	Male adult	Control	0	0	Y	1	1	4	1	0	5
Longtailed Mealybug	1*	0	0	21.73	Y	1	1	53	2	0	55
Longtailed Mealybug	2*	0	0	21.73	Y	1	1	112	0	0	112
Longtailed Mealybug	3*	0	0	21.73	Y	1	1	69	0	0	69
Longtailed Mealybug	Female adult	0	0	21.73	Y	1	1	39	2	0	41
Longtailed Mealybug	Male 3/4*	0	0	21.73	Y	1	1	5	0	0	5
Longtailed Mealybug	Male adult	0	0	21.73	Y	1	1	2	0	0	2
Longtailed Mealybug	1*	0.5	0.66	7.15	Y	1	1	13	105	0	118
Longtailed Mealybug	2*	0.5	0.66	7.15	Y	1	1	0	59	0	59
Longtailed Mealybug	3*	0.5	0.66	7.15	Y	1	1	0	64	0	64
Longtailed Mealybug	Female adult	0.5	0.66	7.15	Y	1	1	1	104	0	105
Longtailed Mealybug	Male 3/4*	0.5	0.66	7.15	Y	1	1	0	7	0	7
Longtailed Mealybug	Male adult	0.5	0.66	7.15	Y	1	1	0	10	0	10
Longtailed Mealybug	1*	1	1.28	12.74	Y	1	1	0	105	0	105
Longtailed Mealybug	2*	1	1.28	12.74	Y	1	1	1	99	0	100
Longtailed Mealybug	3*	1	1.28	12.74	Y	1	1	0	70	0	70
Longtailed Mealybug	Female adult	1	1.28	12.74	Y	1	1	0	97	0	97
Longtailed Mealybug	Male 3/4*	1	1.28	12.74	Y	1	1	0	3	0	3
Longtailed Mealybug	Male adult	1	1.28	12.74	Y	1	1	0	10	0	10
