Species	Lifestage	Efg	Efppm	CO2	Fruit	Rep	Duration	Live	Dead	Moribund	Total
Longtailed Mealybug	1*	Control			N	1	1	103	3	0	106
Longtailed Mealybug	2*	Control			N	1	1	104	0	0	104
Longtailed Mealybug	3*	Control			N	1	1	61	0	0	61
Longtailed Mealybug	Female adult	Control			N	1	1	57	0	0	57
Longtailed Mealybug	Male 3/4*	Control			N	1	1	6	0	0	6
Longtailed Mealybug	Male adult	Control			N	1	1	9	1	0	10
Longtailed Mealybug	1*	0	0	5.62	N	1	1	101	8	0	109
Longtailed Mealybug	2*	0	0	5.62	N	1	1	142	1	0	143
Longtailed Mealybug	3*	0	0	5.62	N	1	1	103	2	0	105
Longtailed Mealybug	Female adult	0	0	5.62	N	1	1	100	4	0	104
Longtailed Mealybug	Male 3/4*	0	0	5.62	N	1	1	5	0	0	5
Longtailed Mealybug	Male adult	0	0	5.62	N	1	1	3	1	0	4
Longtailed Mealybug	1*	0.05	0.04	0.76	N	1	1	97	3	0	100
Longtailed Mealybug	2*	0.05	0.04	0.76	N	1	1	100	0	0	100
Longtailed Mealybug	3*	0.05	0.04	0.76	N	1	1	101	2	0	103
Longtailed Mealybug	Female adult	0.05	0.04	0.76	N	1	1	86	2	0	88
Longtailed Mealybug	Male 3/4*	0.05	0.04	0.76	N	1	1	11	0	0	11
Longtailed Mealybug	Male adult	0.05	0.04	0.76	N	1	1	1	2	0	3
Longtailed Mealybug	1*	0.1	0.05	1.05	N	1	1	63	23	0	86
Longtailed Mealybug	2*	0.1	0.05	1.05	N	1	1	71	5	0	76
Longtailed Mealybug	3*	0.1	0.05	1.05	N	1	1	74	1	0	75
Longtailed Mealybug	Female adult	0.1	0.05	1.05	N	1	1	78	3	0	81
Longtailed Mealybug	Male 3/4*	0.1	0.05	1.05	N	1	1	5	0	0	5
Longtailed Mealybug	Male adult	0.1	0.05	1.05	N	1	1	4	1	0	5
Longtailed Mealybug	1*	0.15	0.09	1.58	N	1	1	105	7	0	112
Longtailed Mealybug	2*	0.15	0.09	1.58	N	1	1	99	1	0	100
Longtailed Mealybug	3*	0.15	0.09	1.58	N	1	1	70	3	0	73
Longtailed Mealybug	Female adult	0.15	0.09	1.58	N	1	1	70	2	0	72
Longtailed Mealybug	Male 3/4*	0.15	0.09	1.58	N	1	1	0	0	0	0
Longtailed Mealybug	Male adult	0.15	0.09	1.58	N	1	1	1	1	0	2
Longtailed Mealybug	1*	0.2	0.13	2.14	N	1	1	85	14	0	99
Longtailed Mealybug	2*	0.2	0.13	2.14	N	1	1	79	4	0	83
Longtailed Mealybug	3*	0.2	0.13	2.14	N	1	1	36	4	0	40
Longtailed Mealybug	Female adult	0.2	0.13	2.14	N	1	1	30	2	0	32
Longtailed Mealybug	Male 3/4*	0.2	0.13	2.14	N	1	1	2	0	0	2
Longtailed Mealybug	Male adult	0.2	0.13	2.14	N	1	1	1	5	0	6
Longtailed Mealybug	1*	0.3	0.2	2.99	N	1	1	44	63	0	107
Longtailed Mealybug	2*	0.3	0.2	2.99	N	1	1	1	92	0	93
Longtailed Mealybug	3*	0.3	0.2	2.99	N	1	1	46	8	0	54
Longtailed Mealybug	Female adult	0.3	0.2	2.99	N	1	1	99	7	0	106
Longtailed Mealybug	Male 3/4*	0.3	0.2	2.99	N	1	1	10	0	0	10
Longtailed Mealybug	Male adult	0.3	0.2	2.99	N	1	1	3	1	0	4
Longtailed Mealybug	1*	0.4	0.28	4.02	N	1	1	15	89	0	104
Longtailed Mealybug	2*	0.4	0.28	4.02	N	1	1	3	102	0	105
Longtailed Mealybug	3*	0.4	0.28	4.02	N	1	1	3	49	0	52
Longtailed Mealybug	Female adult	0.4	0.28	4.02	N	1	1	24	35	3	62
Longtailed Mealybug	Male 3/4*	0.4	0.28	4.02	N	1	1	1	5	1	7
Longtailed Mealybug	Male adult	0.4	0.28	4.02	N	1	1	0	4	0	4
Longtailed Mealybug	1*	0.6	0.39	5.87	N	1	1	0	102	0	102
Longtailed Mealybug	2*	0.6	0.39	5.87	N	1	1	0	110	0	110
Longtailed Mealybug	3*	0.6	0.39	5.87	N	1	1	0	100	0	100
Longtailed Mealybug	Female adult	0.6	0.39	5.87	N	1	1	1	67	0	68
Longtailed Mealybug	Male 3/4*	0.6	0.39	5.87	N	1	1	0	2	0	2
Longtailed Mealybug	Male adult	0.6	0.39	5.87	N	1	1	0	5	0	5
Longtailed Mealybug	1*	Control			N	2	1	98	3	0	101
Longtailed Mealybug	2*	Control			N	2	1	101	0	0	101
Longtailed Mealybug	3*	Control			N	2	1	88	0	0	88
Longtailed Mealybug	Female adult	Control			N	2	1	110	0	0	110
Longtailed Mealybug	Male 3/4*	Control			N	2	1	3	0	0	3
Longtailed Mealybug	Male adult	Control			N	2	1	7	3	0	10
Longtailed Mealybug	1*	0	0	5.54	N	2	1	96	12	0	108
Longtailed Mealybug	2*	0	0	5.54	N	2	1	75	3	0	78
Longtailed Mealybug	3*	0	0	5.54	N	2	1	97	4	0	101
Longtailed Mealybug	Female adult	0	0	5.54	N	2	1	120	0	0	120
Longtailed Mealybug	Male 3/4*	0	0	5.54	N	2	1	9	0	0	9
Longtailed Mealybug	Male adult	0	0	5.54	N	2	1	5	2	0	7
Longtailed Mealybug	1*	0.05	0.03	0.95	N	2	1	104	22	0	126
Longtailed Mealybug	2*	0.05	0.03	0.95	N	2	1	105	4	0	109
