Date	Pest	Species	Lifestage	SLS	Fruit	Assessed	Temperature	Efnom	EfpcS	EfpcE	Efpc	CO2	Duration	Rep	Sample	Placement	Unhatched	Live_Hatched	Dead	Moribund	Total
11/03/2015	LBAM	Lightbrown apple moth	5*	LBAM 5	Apples	1	15	Control	0	0	0	0	3	1				47	0	0	47
11/03/2015	LBAM	Lightbrown apple moth	5*	LBAM 5	Apples	1	15	0	0	0	0	24.5	2	1				51	0	0	51
11/03/2015	LBAM	Lightbrown apple moth	5*	LBAM 5	Apples	1	15	1	1.09	0.74	0.915	11.2	2	1				3	51	5	59
11/03/2015	LBAM	Lightbrown apple moth	5*	LBAM 5	Apples	1	15	2	2.2	1.54	1.87	23.5	2	1				1	51	4	56
11/03/2015	LBAM	Lightbrown apple moth	5*	LBAM 5	Apples	1	15	3	3.2	2.3	2.75	27.5	2	1				2	45	4	51
11/03/2015	LBAM	Lightbrown apple moth	5*	LBAM 5	Apples	1	15	Control	0	0	0	0	3	2				58	0	0	58
11/03/2015	LBAM	Lightbrown apple moth	5*	LBAM 5	Apples	1	15	0	0	0	0	24.5	2	2				52	1	0	53
11/03/2015	LBAM	Lightbrown apple moth	5*	LBAM 5	Apples	1	15	1	1.18	0.76	0.97	12	2	2				6	43	3	52
11/03/2015	LBAM	Lightbrown apple moth	5*	LBAM 5	Apples	1	15	2	2.18	1.52	1.85	23	2	2				2	66	2	70
11/03/2015	LBAM	Lightbrown apple moth	5*	LBAM 5	Apples	1	15	3	3.2	2.14	2.67	27.5	2	2				2	52	2	56
11/03/2015	LBAM	Lightbrown apple moth	5*	LBAM 5	Apples	1	15	Control	0	0	0	0	3	3				50	0	0	50
11/03/2015	LBAM	Lightbrown apple moth	5*	LBAM 5	Apples	1	15	0	0	0	0	20.2	2	3				49	0	0	49
11/03/2015	LBAM	Lightbrown apple moth	5*	LBAM 5	Apples	1	15	1	1.18	0.8	0.99	11.2	2	3				2	45	4	51
11/03/2015	LBAM	Lightbrown apple moth	5*	LBAM 5	Apples	1	15	2	2.35	1.42	1.885	22.5	2	3				0	36	9	45
11/03/2015	LBAM	Lightbrown apple moth	5*	LBAM 5	Apples	1	15	3	3.3	2.06	2.68	27.5	2	3				0	65	1	66
11/03/2015	LBAM	Lightbrown apple moth	mid egg	LBAM egg	Apples	9	15	Control	0	0	0	0	3	1			46	148			194
11/03/2015	LBAM	Lightbrown apple moth	mid egg	LBAM egg	Apples	9	15	0	0	0	0	24.5	2	1			33	129			162
