Species	Lifestage	Efg	Efppm	CO2	Rep	Sample	Duration	DATassess	Live	Dead	Moribund	Total
Apple leaf curling midge	Diapausing larvae	Control	0	0	1	1	4	6	24	10	37	71
Apple leaf curling midge	Diapausing larvae	Control	0	0	1	2	4	6	29	6	21	56
Apple leaf curling midge	Diapausing larvae	0	2136.4	18.89	1	1	4	6	13	18	28	59
Apple leaf curling midge	Diapausing larvae	1	12062.99	11.09	1	1	4	6	8	18	29	55
Apple leaf curling midge	Diapausing larvae	1.5	18204.88	15.36	1	1	4	6	2	17	29	48
Apple leaf curling midge	Diapausing larvae	2	22569.24	19.31	1	1	4	6	13	15	32	60
Apple leaf curling midge	Diapausing larvae	2.5	18781.68	8.45	1	1	4	6	4	6	34	44
Apple leaf curling midge	Diapausing larvae	3	37977.99	17.65	1	1	4	6	0	30	20	50
Apple leaf curling midge	Diapausing larvae	3.5	40798.87	20.17	1	1	4	6	0	16	31	47
Apple leaf curling midge	Diapausing larvae	Control	0.00	0.00	2	1	4	6	30	5	14	49
Apple leaf curling midge	Diapausing larvae	0	962.20	21.34	2	1	4	6	28	7	15	50
Apple leaf curling midge	Diapausing larvae	1	13626.36	6.89	2	1	4	6	14	16	23	53
Apple leaf curling midge	Diapausing larvae	1.5	19798.08	9.98	2	1	4	6	8	9	30	47
Apple leaf curling midge	Diapausing larvae	2	23718.60	15.43	2	1	4	6	0	15	35	50
Apple leaf curling midge	Diapausing larvae	2.5	29196.40	15.68	2	1	4	6	1	25	19	45
Apple leaf curling midge	Diapausing larvae	3	34452.57	18.45	2	1	4	6	0	19	40	59
Apple leaf curling midge	Diapausing larvae	3.5	37160.44	21.79	2	1	4	6	0	10	41	51
Apple leaf curling midge	Diapausing larvae	Control	0.00	0.00	3	1	4	6	8	16	31	55
Apple leaf curling midge	Diapausing larvae	0	2147.12	30.68	3	1	4	6	20	19	17	56
Apple leaf curling midge	Diapausing larvae	1	11790.73	14.83	3	1	4	6	4	22	31	57
Apple leaf curling midge	Diapausing larvae	1.5	15646.95	17.52	3	1	4	6	23	11	20	54
Apple leaf curling midge	Diapausing larvae	2	21203.27	22.83	3	1	4	6	1	22	30	53
Apple leaf curling midge	Diapausing larvae	2.5	24645.03	26.96	3	1	4	7	11	12	36	59
Apple leaf curling midge	Diapausing larvae	3	31025.59	30.20	3	1	4	7	3	13	37	53
Apple leaf curling midge	Diapausing larvae	3.5	36169.54	29.78	3	1	4	7	4	22	40	66
Apple leaf curling midge	Diapausing larvae	Control	0.00	0.00	4	1	4	7	32	6	15	53
Apple leaf curling midge	Diapausing larvae	0	2562.28	30.07	4	1	4	7	6	10	32	48
Apple leaf curling midge	Diapausing larvae	1	12449.52	11.33	4	1	4	7	23	8	22	53
Apple leaf curling midge	Diapausing larvae	1.5	20451.58	17.32	4	1	4	7	7	10	35	52
Apple leaf curling midge	Diapausing larvae	2	22050.85	30.64	4	1	4	7	12	15	28	55
Apple leaf curling midge	Diapausing larvae	2.5	27231.68	23.90	4	1	4	7	1	13	36	50
Apple leaf curling midge	Diapausing larvae	3	32183.91	27.20	4	1	4	7	2	20	29	51
Apple leaf curling midge	Diapausing larvae	3.5	35225.62	30.52	4	1	4	7	4	25	22	51
Onion thrips	Larvae	Control	0.00	0.00	1	1	1	1	3	0	0	3
Onion thrips	Pupae	Control	0.00	0.00	1	1	1	1	24	0	0	24
Onion thrips	Adult	Control	0.00	0.00	1	1	1	1	41	0	0	41
Onion thrips	Larvae	0	166.87	14.98	1	1	1	1	5	6	0	11
Onion thrips	Pupae	0	166.87	14.98	1	1	1	1	12	2	0	14
Onion thrips	Adult	0	166.87	14.98	1	1	1	1	32	10	0	42
Onion thrips	Larvae	0.1	738	1.17	1	1	1	1	29	2	0	31
Onion thrips	Pupae	0.1	738	1.17	1	1	1	1	9	11	0	20
Onion thrips	Adult	0.1	738	1.17	1	1	1	1	22	28	0	50
Onion thrips	Larvae	0.2	1519.95	1.83	1	1	1	1	15	25	0	40
Onion thrips	Pupae	0.2	1519.95	1.83	1	1	1	1	5	17	0	22
Onion thrips	Adult	0.2	1519.95	1.83	1	1	1	1	0	32	0	32
Onion thrips	Larvae	0.3	2410.75	3.06	1	1	1	1	0	32	0	32
Onion thrips	Pupae	0.3	2410.75	3.06	1	1	1	1	0	9	0	9
Onion thrips	Adult	0.3	2410.75	3.06	1	1	1	1	1	47	0	48
Onion thrips	Larvae	0.6	4968.44	5.92	1	1	1	1	0	24	0	24
Onion thrips	Pupae	0.6	4968.44	5.92	1	1	1	1	0	22	0	22
Onion thrips	Adult	0.6	4968.44	5.92	1	1	1	1	0	36	0	36
Onion thrips	Larvae	1.2	9999.94	10.87	1	1	1	1	0	26	0	26
Onion thrips	Pupae	1.2	9999.94	10.87	1	1	1	1	0	9	0	9
Onion thrips	Adult	1.2	9999.94	10.87	1	1	1	1	0	39	0	39
Onion thrips	Larvae	1.7	13009.74	16.8	1	1	1	1	0	38	0	38
Onion thrips	Pupae	1.7	13009.74	16.8	1	1	1	1	0	18	0	18
Onion thrips	Adult	1.7	13009.74	16.8	1	1	1	1	0	25	0	25
Onion thrips	Larvae	Control	0	0	2	1	1	1	7	2	0	9
Onion thrips	Pupae	Control	0	0	2	1	1	1	11	1	0	12
Onion thrips	Adult	Control	0	0	2	1	1	1	22	6	0	28
Onion thrips	Larvae	0	133.76	11.94	2	1	1	1	14	0	0	14
Onion thrips	Pupae	0	133.76	11.94	2	1	1	1	15	0	0	15
Onion thrips	Adult	0	133.76	11.94	2	1	1	1	38	2	0	40
Onion thrips	Larvae	0.1	732.85	1.1	2	1	1	1	9	3	0	12
Onion thrips	Pupae	0.1	732.85	1.1	2	1	1	1	10	4	0	14
Onion thrips	Adult	0.1	732.85	1.1	2	1	1	1	16	14	0	30
Onion thrips	Larvae	0.2	1983.26	2.13	2	1	1	1	1	16	0	17
Onion thrips	Pupae	0.2	1983.26	2.13	2	1	1	1	1	21	0	22
Onion thrips	Adult	0.2	1983.26	2.13	2	1	1	1	0	42	0	42
Onion thrips	Larvae	0.3	2181.2	2.89	2	1	1	1	3	34	0	37
Onion thrips	Pupae	0.3	2181.2	2.89	2	1	1	1	6	17	0	23
Onion thrips	Adult	0.3	2181.2	2.89	2	1	1	1	0	29	0	29
Onion thrips	Larvae	0.6	4238.8	5.7	2	1	1	1	0	21	0	21
Onion thrips	Pupae	0.6	4238.8	5.7	2	1	1	1	0	11	0	11
Onion thrips	Adult	0.6	4238.8	5.7	2	1	1	1	0	43	0	43
Onion thrips	Larvae	1.2	9045.21	11.84	2	1	1	1	0	25	0	25
Onion thrips	Pupae	1.2	9045.21	11.84	2	1	1	1	0	24	0	24
Onion thrips	Adult	1.2	9045.21	11.84	2	1	1	1	0	37	0	37
Onion thrips	Larvae	1.7	12512.6	14.73	2	1	1	1	0	18	0	18
Onion thrips	Pupae	1.7	12512.6	14.73	2	1	1	1	0	21	0	21
Onion thrips	Adult	1.7	12512.6	14.73	2	1	1	1	0	42	0	42
Onion thrips	Larvae	Control	0	0	3	1	1	1	0	1	0	1
Onion thrips	Pupae	Control	0	0	3	1	1	1	9	1	0	10
Onion thrips	Adult	Control	0	0	3	1	1	1	17	10	0	27
Onion thrips	Larvae	0	79.03	14.1	3	1	1	1	16	2	0	18
Onion thrips	Pupae	0	79.03	14.1	3	1	1	1	7	2	0	9
Onion thrips	Adult	0	79.03	14.1	3	1	1	1	24	6	0	30
Onion thrips	Larvae	0.1	764.33	1.15	3	1	1	1	34	9	0	43
Onion thrips	Pupae	0.1	764.33	1.15	3	1	1	1	6	13	0	19
Onion thrips	Adult	0.1	764.33	1.15	3	1	1	1	9	21	0	30
Onion thrips	Larvae	0.2	1412.98	1.68	3	1	1	1	0	19	0	19
Onion thrips	Pupae	0.2	1412.98	1.68	3	1	1	1	2	20	0	22
Onion thrips	Adult	0.2	1412.98	1.68	3	1	1	1	0	30	0	30
Onion thrips	Larvae	0.3	2377.45	2.82	3	1	1	1	0	22	0	22
Onion thrips	Pupae	0.3	2377.45	2.82	3	1	1	1	0	5	0	5
Onion thrips	Adult	0.3	2377.45	2.82	3	1	1	1	0	47	0	47
Onion thrips	Larvae	0.6	5058.65	4.43	3	1	1	1	0	32	0	32
Onion thrips	Pupae	0.6	5058.65	4.43	3	1	1	1	0	18	0	18
Onion thrips	Adult	0.6	5058.65	4.43	3	1	1	1	0	45	0	45
Onion thrips	Larvae	1.2	9713.44	10.78	3	1	1	1	0	21	0	21
Onion thrips	Pupae	1.2	9713.44	10.78	3	1	1	1	0	12	0	12
Onion thrips	Adult	1.2	9713.44	10.78	3	1	1	1	0	36	0	36
Onion thrips	Larvae	1.7	12567.43	14.92	3	1	1	1	0	3	0	3
Onion thrips	Pupae	1.7	12567.43	14.92	3	1	1	1	0	11	0	11
Onion thrips	Adult	1.7	12567.43	14.92	3	1	1	1	0	29	0	29
Onion thrips	Larvae	Control	0	0	4	1	1	1	4	2	0	6
Onion thrips	Pupae	Control	0	0	4	1	1	1	24	6	0	30
Onion thrips	Adult	Control	0	0	4	1	1	1	28	5	0	33
Onion thrips	Larvae	0	65.74	13.24	4	1	1	1	2	0	0	2
Onion thrips	Pupae	0	65.74	13.24	4	1	1	1	9	0	0	9
Onion thrips	Adult	0	65.74	13.24	4	1	1	1	25	2	0	27
Onion thrips	Larvae	0.1	744.22	1.05	4	1	1	1	17	2	0	19
Onion thrips	Pupae	0.1	744.22	1.05	4	1	1	1	11	4	0	15
Onion thrips	Adult	0.1	744.22	1.05	4	1	1	1	24	16	0	40
Onion thrips	Larvae	0.2	1700.26	1.87	4	1	1	1	3	21	0	24
Onion thrips	Pupae	0.2	1700.26	1.87	4	1	1	1	1	9	0	10
Onion thrips	Adult	0.2	1700.26	1.87	4	1	1	1	0	47	0	47
Onion thrips	Larvae	0.3	2258.48	2.78	4	1	1	1	0	10	0	10
Onion thrips	Pupae	0.3	2258.48	2.78	4	1	1	1	0	13	0	13
Onion thrips	Adult	0.3	2258.48	2.78	4	1	1	1	0	43	0	43
Onion thrips	Larvae	0.6	4681.6	5.84	4	1	1	1	0	20	0	20
Onion thrips	Pupae	0.6	4681.6	5.84	4	1	1	1	0	15	0	15
Onion thrips	Adult	0.6	4681.6	5.84	4	1	1	1	0	36	0	36
Onion thrips	Larvae	1.2	8942.68	10.95	4	1	1	1	0	40	0	40
Onion thrips	Pupae	1.2	8942.68	10.95	4	1	1	1	0	19	0	19
Onion thrips	Adult	1.2	8942.68	10.95	4	1	1	1	0	31	0	31
Onion thrips	Larvae	1.7	11191.01	14.4	4	1	1	1	0	27	0	27
Onion thrips	Pupae	1.7	11191.01	14.4	4	1	1	1	0	33	0	33
Onion thrips	Adult	1.7	11191.01	14.4	4	1	1	1	0	25	0	25
Obscure mealybugs	1st instar	Control	0	0	1	1	1	2	83	0	0	83
Obscure mealybugs	2nd instar	Control	0	0	1	1	1	2	62	0	0	62
Obscure mealybugs	3rd instar	Control	0	0	1	1	1	2	36	1	0	37
Obscure mealybugs	2/3rd instar male 	Control	0	0	1	1	1	2	1	0	0	1
Obscure mealybugs	Mature female	Control	0	0	1	1	1	2	61	0	0	61
Obscure mealybugs	Mature male	Control	0	0	1	1	1	2	0	0	0	0
Obscure mealybugs	1st instar	0	166.87	14.98	1	1	1	2	102	2	0	104
Obscure mealybugs	2nd instar	0	166.87	14.98	1	1	1	2	41	6	0	47
Obscure mealybugs	3rd instar	0	166.87	14.98	1	1	1	2	88	14	0	102
Obscure mealybugs	2/3rd instar male 	0	166.87	14.98	1	1	1	2	0	0	0	0
Obscure mealybugs	Mature female	0	166.87	14.98	1	1	1	2	38	10	0	48
Obscure mealybugs	Mature male	0	166.87	14.98	1	1	1	2	0	0	0	0
Obscure mealybugs	1st instar	0.1	738	1.17	1	1	1	2	48	2	0	50
Obscure mealybugs	2nd instar	0.1	738	1.17	1	1	1	2	51	1	0	52
Obscure mealybugs	3rd instar	0.1	738	1.17	1	1	1	2	94	13	0	107
Obscure mealybugs	2/3rd instar male 	0.1	738	1.17	1	1	1	2	2	0	0	2
