Date,Time,Average,Peak
8/09/2015,8:50:34,55.308338,63.269088
8/09/2015,8:50:35,17.568933,51.234321
8/09/2015,8:50:35,14.47402,17.520881
8/09/2015,8:50:35,15.652874,16.859468
8/09/2015,8:50:35,12.294834,16.799969
8/09/2015,8:50:35,13.710801,16.770221
8/09/2015,8:50:35,15.576043,15.939337
8/09/2015,8:50:35,15.802,15.981356
8/09/2015,8:50:35,18.486044,19.586614
8/09/2015,8:50:36,20.448031,21.137654
8/09/2015,8:50:36,22.824208,23.231012
8/09/2015,8:50:36,24.978491,25.318171
8/09/2015,8:50:36,23.194708,24.330523
8/09/2015,8:50:36,22.817173,23.889928
8/09/2015,8:50:36,24.010245,24.161901
8/09/2015,8:50:36,23.380827,26.864457
8/09/2015,8:50:36,24.854631,25.81504
8/09/2015,8:50:36,27.69142,28.625203
8/09/2015,8:50:37,35.493791,35.493791
8/09/2015,8:50:37,36.795774,37.202461
8/09/2015,8:50:37,35.279157,35.688285
8/09/2015,8:50:37,31.136477,32.610653
8/09/2015,8:50:37,34.737122,34.737122
8/09/2015,8:50:37,34.794086,37.426263
8/09/2015,8:50:37,30.171081,34.759443
8/09/2015,8:50:37,29.546842,35.373505
8/09/2015,8:50:37,28.27549,28.507409
8/09/2015,8:50:37,25.612893,27.75069
8/09/2015,8:50:38,24.990733,29.421178
8/09/2015,8:50:38,24.137954,27.31002
8/09/2015,8:50:38,24.819112,26.637983
8/09/2015,8:50:38,27.829463,27.829463
8/09/2015,8:50:38,25.165525,27.392043
8/09/2015,8:50:38,24.309066,25.050816
8/09/2015,8:50:38,27.561797,27.74232
8/09/2015,8:50:38,25.168072,27.152537
8/09/2015,8:50:38,26.41809,28.110525
8/09/2015,8:50:39,21.910448,26.105192
8/09/2015,8:50:39,23.134127,26.424452
8/09/2015,8:50:39,21.01215,25.999499
8/09/2015,8:50:39,26.966772,27.090597
8/09/2015,8:50:39,24.922362,28.176921
8/09/2015,8:50:39,49.383125,49.559179
8/09/2015,8:50:39,50.571194,52.477624
8/09/2015,8:50:39,44.336904,47.614769
8/09/2015,8:50:40,35.876593,41.083408
8/09/2015,8:50:40,29.260992,31.429535
8/09/2015,8:50:40,27.628491,33.254997
8/09/2015,8:50:40,29.674257,31.711931
8/09/2015,8:50:40,29.905336,30.221977
8/09/2015,8:50:40,28.245199,28.258102
8/09/2015,8:50:40,24.421629,28.269487
8/09/2015,8:50:40,29.760562,29.952605
8/09/2015,8:50:40,28.204861,31.029593
8/09/2015,8:50:41,25.333813,28.229998
8/09/2015,8:50:41,24.844311,27.517727
8/09/2015,8:50:41,24.192597,28.22791
8/09/2015,8:50:41,27.84236,28.252002
8/09/2015,8:50:41,27.422415,27.453253
8/09/2015,8:50:41,30.606789,30.815033
8/09/2015,8:50:41,25.177596,26.690539
8/09/2015,8:50:41,25.171157,29.026375
8/09/2015,8:50:41,24.499687,27.469873
8/09/2015,8:50:42,23.952512,26.057754
8/09/2015,8:50:42,22.80508,27.218094
8/09/2015,8:50:42,26.41158,29.907178
8/09/2015,8:50:42,31.160626,31.160626
8/09/2015,8:50:42,30.963958,30.963958
8/09/2015,8:50:42,32.902182,33.213173
8/09/2015,8:50:42,29.635953,31.195295
8/09/2015,8:50:42,29.76488,30.195702
8/09/2015,8:50:42,29.745262,35.119643
8/09/2015,8:50:43,31.399169,31.399169
8/09/2015,8:50:43,29.816578,35.906041
8/09/2015,8:50:43,35.910415,37.389153
8/09/2015,8:50:43,34.034131,34.187769
8/09/2015,8:50:43,35.131546,35.390527
8/09/2015,8:50:43,36.621914,37.312434
8/09/2015,8:50:43,34.632297,35.005915
8/09/2015,8:50:43,40.19609,40.19609
8/09/2015,8:50:44,37.939941,38.973208
8/09/2015,8:50:44,31.507323,37.379183
8/09/2015,8:50:44,35.633171,39.203418
8/09/2015,8:50:44,35.502645,36.790945
8/09/2015,8:50:44,37.215617,39.523256
8/09/2015,8:50:44,34.243656,37.517942
8/09/2015,8:50:44,31.846622,34.995648
8/09/2015,8:50:44,30.421621,35.542078
8/09/2015,8:50:44,31.168182,32.473859
8/09/2015,8:50:45,32.346334,34.060134
8/09/2015,8:50:45,36.998832,36.998832
8/09/2015,8:50:45,33.835639,34.279707
8/09/2015,8:50:45,36.867292,37.819439
8/09/2015,8:50:45,33.853557,38.793813
8/09/2015,8:50:45,32.927194,35.112461
8/09/2015,8:50:45,29.141779,33.420015
8/09/2015,8:50:45,30.745725,33.814371
8/09/2015,8:50:45,27.387523,32.500609
8/09/2015,8:50:46,30.696492,30.881308
8/09/2015,8:50:46,32.088328,33.30319
8/09/2015,8:50:46,36.702743,37.123879
8/09/2015,8:50:46,34.670265,36.307909
8/09/2015,8:50:46,32.46671,35.205081
8/09/2015,8:50:46,31.180731,32.837677
8/09/2015,8:50:46,27.620345,30.378833
8/09/2015,8:50:46,31.733552,31.788793
8/09/2015,8:50:46,27.842539,30.502496
8/09/2015,8:50:47,28.270959,29.667637
8/09/2015,8:50:47,29.301679,31.344188
